"Number of violent victimizations by crime type, 1993-2022--Sex: female--Age: 50 to 64"
Year,Sex,Age,Crime Type,Number,Number CI Lower Bound,Number CI Upper Bound,Number SE,Number Flag
"1993","Female","50 to 64","Rape/sexual assault","8,155","0","20,436","6,266","1"
"1994","Female","50 to 64","Rape/sexual assault","4,311","0","11,701","3,770","1"
"1995","Female","50 to 64","Rape/sexual assault","2,543","0","7,470","2,514","1"
"1996","Female","50 to 64","Rape/sexual assault","3,482","0","9,514","3,077","1"
"1997","Female","50 to 64","Rape/sexual assault","6,464","0","16,444","5,092","1"
"1998","Female","50 to 64","Rape/sexual assault","7,836","0","16,716","4,531","1"
"1999","Female","50 to 64","Rape/sexual assault","7,007","0","17,207","5,204","1"
"2000","Female","50 to 64","Rape/sexual assault","13,256","0","26,783","6,902","1"
"2001","Female","50 to 64","Rape/sexual assault","7,604","0","17,872","5,239","1"
"2002","Female","50 to 64","Rape/sexual assault","25,898","5,309","46,487","10,505","1"
"2003","Female","50 to 64","Rape/sexual assault","34,217","9,007","59,427","12,862","1"
"2004","Female","50 to 64","Rape/sexual assault","35,867","10,360","61,374","13,014","1"
"2005","Female","50 to 64","Rape/sexual assault","31,002","5,997","56,007","12,758","1"
"2006","Female","50 to 64","Rape/sexual assault","25,630","3,667","47,592","11,206","1"
"2007","Female","50 to 64","Rape/sexual assault","8,806","1,112","16,501","3,926","1"
"2008","Female","50 to 64","Rape/sexual assault","5,126","0","15,878","5,486","1"
"2009","Female","50 to 64","Rape/sexual assault","13,417","0","30,192","8,559","1"
"2010","Female","50 to 64","Rape/sexual assault","0","","","","2"
"2011","Female","50 to 64","Rape/sexual assault","16,362","610","32,115","8,037","1"
"2012","Female","50 to 64","Rape/sexual assault","14,981","0","31,824","8,593","1"
"2013","Female","50 to 64","Rape/sexual assault","69,976","27,674","112,278","21,583","0"
"2014","Female","50 to 64","Rape/sexual assault","13,736","0","29,442","8,014","1"
"2015","Female","50 to 64","Rape/sexual assault","69,218","25,733","112,703","22,186","0"
"2016","Female","50 to 64","Rape/sexual assault","19,949","2,625","37,272","8,839","0"
"2017","Female","50 to 64","Rape/sexual assault","20,612","2,548","38,676","9,216","0"
"2018","Female","50 to 64","Rape/sexual assault","35,354","10,961","59,747","12,446","0"
"2019","Female","50 to 64","Rape/sexual assault","38,278","11,669","64,887","13,576","0"
"2020","Female","50 to 64","Rape/sexual assault","25,995","5,676","46,314","10,367","0"
"2021","Female","50 to 64","Rape/sexual assault","32,915","12,213","53,616","10,562","0"
"2022","Female","50 to 64","Rape/sexual assault","48,236","16,792","79,680","16,043","0"
"1993","Female","50 to 64","Robbery","27,137","3,107","51,168","12,261","1"
"1994","Female","50 to 64","Robbery","36,068","12,081","60,055","12,238","0"
"1995","Female","50 to 64","Robbery","21,427","5,093","37,761","8,334","1"
"1996","Female","50 to 64","Robbery","51,646","22,292","81,000","14,977","0"
"1997","Female","50 to 64","Robbery","22,296","2,024","42,568","10,343","1"
"1998","Female","50 to 64","Robbery","28,462","8,793","48,132","10,036","1"
"1999","Female","50 to 64","Robbery","25,038","3,702","46,373","10,886","0"
"2000","Female","50 to 64","Robbery","24,070","4,615","43,525","9,926","1"
"2001","Female","50 to 64","Robbery","38,014","12,023","64,004","13,261","0"
"2002","Female","50 to 64","Robbery","34,628","9,791","59,465","12,672","0"
"2003","Female","50 to 64","Robbery","31,469","7,520","55,417","12,219","0"
"2004","Female","50 to 64","Robbery","51,301","19,804","82,798","16,070","1"
"2005","Female","50 to 64","Robbery","17,921","0","36,035","9,242","1"
"2006","Female","50 to 64","Robbery","14,081","0","29,627","7,932","1"
"2007","Female","50 to 64","Robbery","26,240","9,387","43,093","8,599","1"
"2008","Female","50 to 64","Robbery","17,836","0","39,092","10,845","1"
"2009","Female","50 to 64","Robbery","27,357","1,672","53,041","13,105","1"
"2010","Female","50 to 64","Robbery","51,830","17,739","85,921","17,394","0"
"2011","Female","50 to 64","Robbery","36,021","10,435","61,606","13,054","0"
"2012","Female","50 to 64","Robbery","50,169","16,804","83,534","17,023","0"
"2013","Female","50 to 64","Robbery","61,388","22,649","100,126","19,765","0"
"2014","Female","50 to 64","Robbery","99,407","47,473","151,342","26,498","0"
"2015","Female","50 to 64","Robbery","36,776","7,197","66,354","15,091","0"
"2016","Female","50 to 64","Robbery","54,208","22,961","85,456","15,943","0"
"2017","Female","50 to 64","Robbery","64,366","29,181","99,551","17,952","0"
"2018","Female","50 to 64","Robbery","39,851","13,587","66,116","13,401","0"
"2019","Female","50 to 64","Robbery","58,012","23,798","92,226","17,456","0"
"2020","Female","50 to 64","Robbery","29,838","7,737","51,939","11,276","0"
"2021","Female","50 to 64","Robbery","39,083","16,093","62,072","11,730","0"
"2022","Female","50 to 64","Robbery","76,455","35,618","117,292","20,836","0"
"1993","Female","50 to 64","Aggravated assault","58,907","21,178","96,636","19,250","0"
"1994","Female","50 to 64","Aggravated assault","85,185","45,376","124,994","20,311","0"
"1995","Female","50 to 64","Aggravated assault","61,331","30,528","92,134","15,716","0"
"1996","Female","50 to 64","Aggravated assault","92,963","50,376","135,549","21,728","0"
"1997","Female","50 to 64","Aggravated assault","36,389","9,254","63,524","13,844","0"
"1998","Female","50 to 64","Aggravated assault","85,502","45,242","125,762","20,541","0"
"1999","Female","50 to 64","Aggravated assault","55,533","20,899","90,168","17,671","0"
"2000","Female","50 to 64","Aggravated assault","31,853","8,693","55,012","11,816","0"
"2001","Female","50 to 64","Aggravated assault","41,684","14,216","69,152","14,015","0"
"2002","Female","50 to 64","Aggravated assault","31,478","8,131","54,826","11,912","0"
"2003","Female","50 to 64","Aggravated assault","26,193","4,778","47,608","10,926","1"
"2004","Female","50 to 64","Aggravated assault","78,677","37,962","119,392","20,774","0"
"2005","Female","50 to 64","Aggravated assault","51,414","17,489","85,338","17,309","0"
"2006","Female","50 to 64","Aggravated assault","108,518","55,916","161,120","26,838","0"
"2007","Female","50 to 64","Aggravated assault","37,717","15,788","59,646","11,188","0"
"2008","Female","50 to 64","Aggravated assault","36,671","4,675","68,668","16,325","0"
"2009","Female","50 to 64","Aggravated assault","126,294","58,898","193,690","34,386","0"
"2010","Female","50 to 64","Aggravated assault","42,671","12,692","72,650","15,295","0"
"2011","Female","50 to 64","Aggravated assault","65,516","28,103","102,929","19,089","0"
"2012","Female","50 to 64","Aggravated assault","29,916","5,115","54,717","12,654","0"
"2013","Female","50 to 64","Aggravated assault","109,246","52,015","166,477","29,200","0"
"2014","Female","50 to 64","Aggravated assault","112,840","56,555","169,125","28,717","0"
"2015","Female","50 to 64","Aggravated assault","118,747","57,771","179,723","31,111","0"
"2016","Female","50 to 64","Aggravated assault","80,460","40,703","120,216","20,284","0"
"2017","Female","50 to 64","Aggravated assault","83,004","41,970","124,038","20,936","0"
"2018","Female","50 to 64","Aggravated assault","82,799","41,170","124,427","21,239","0"
"2019","Female","50 to 64","Aggravated assault","89,187","44,577","133,796","22,760","0"
"2020","Female","50 to 64","Aggravated assault","63,136","27,889","98,384","17,984","0"
"2021","Female","50 to 64","Aggravated assault","39,120","16,117","62,123","11,736","0"
"2022","Female","50 to 64","Aggravated assault","99,387","51,885","146,888","24,236","0"
"1993","Female","50 to 64","Simple assault","161,781","92,159","231,402","35,522","0"
"1994","Female","50 to 64","Simple assault","256,016","177,568","334,464","40,025","0"
"1995","Female","50 to 64","Simple assault","247,961","172,877","323,045","38,309","0"
"1996","Female","50 to 64","Simple assault","239,614","160,544","318,683","40,343","0"
"1997","Female","50 to 64","Simple assault","196,175","118,244","274,105","39,761","0"
"1998","Female","50 to 64","Simple assault","244,351","162,377","326,324","41,824","0"
"1999","Female","50 to 64","Simple assault","238,899","150,772","327,026","44,964","0"
"2000","Female","50 to 64","Simple assault","329,881","222,156","437,606","54,963","0"
"2001","Female","50 to 64","Simple assault","169,989","104,200","235,778","33,567","0"
"2002","Female","50 to 64","Simple assault","260,402","163,624","357,179","49,377","0"
"2003","Female","50 to 64","Simple assault","281,108","183,280","378,936","49,913","0"
"2004","Female","50 to 64","Simple assault","228,499","149,532","307,466","40,290","0"
"2005","Female","50 to 64","Simple assault","228,399","141,408","315,389","44,384","0"
"2006","Female","50 to 64","Simple assault","269,025","175,132","362,918","47,905","0"
"2007","Female","50 to 64","Simple assault","244,689","158,598","330,781","43,925","0"
"2008","Female","50 to 64","Simple assault","273,550","165,955","381,145","54,897","0"
"2009","Female","50 to 64","Simple assault","270,618","159,037","382,200","56,930","0"
"2010","Female","50 to 64","Simple assault","277,050","170,072","384,028","54,581","0"
"2011","Female","50 to 64","Simple assault","218,198","135,472","300,925","42,208","0"
"2012","Female","50 to 64","Simple assault","358,867","248,671","469,062","56,223","0"
"2013","Female","50 to 64","Simple assault","397,078","256,837","537,320","71,553","0"
"2014","Female","50 to 64","Simple assault","344,152","227,823","460,482","59,353","0"
"2015","Female","50 to 64","Simple assault","296,313","186,200","406,426","56,181","0"
"2016","Female","50 to 64","Simple assault","393,345","283,995","502,694","55,792","0"
"2017","Female","50 to 64","Simple assault","390,504","281,639","499,368","55,544","0"
"2018","Female","50 to 64","Simple assault","400,048","282,221","517,875","60,117","0"
"2019","Female","50 to 64","Simple assault","484,664","351,523","617,805","67,930","0"
"2020","Female","50 to 64","Simple assault","370,900","258,052","483,748","57,576","0"
"2021","Female","50 to 64","Simple assault","379,414","279,916","478,912","50,765","0"
"2022","Female","50 to 64","Simple assault","296,002","205,175","386,829","46,341","0"
"95% C.I.: 95% confidence interval."
"S.E.: Standard error."
"Estimate flag of 1: Interpret data with caution, based on 10 or fewer sample cases or the coefficient of variation is greater than 50%."
"Estimate flag of 2: For numbers, indicates estimate is equal to 0 victimizations. For rates, indicates estimate rounds to less than .05 victimizations per 1,000. For percents, indicates estimate rounds to less than .5 percent."
"Estimates for 2006 should not be compared to other years. See https://ncvs.bjs.ojp.gov/methodology#dataComp for more information."
"In October 2018, BJS released a revised set of 2016 NCVS data. See https://ncvs.bjs.ojp.gov/methodology#dataComp for more information."
"One limitation of the 2016 NCVS revised data file relates to youth 12-17 years old. A significant portion of youth crime occurs at school and therefore, an inherent limitation of the file is that the youth in the sample had less time in school based on the cases that were pulled for the revised file. Please use caution when examining crime estimates for youth using 2016 data."
"Income was imputed beginning in 2015, so no cases in 2015 or later have unknown income. See Terms and Definitions for more information."
"In this tool, data on most important reasons for reporting to police are only found in the Quick Graphics section. See Terms and Definitions for more information."
"In this tool, data on most important reasons for not reporting to police are only found in the Quick Graphics section. See Terms and Definitions for more information."
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2022". https://ncvs.bjs.ojp.gov/multi-year-trends/crimeType
