"Number of violent victimizations by crime type, 1993-2022--Sex: female--Age: 35 to 49"
Year,Sex,Age,Crime Type,Number,Number CI Lower Bound,Number CI Upper Bound,Number SE,Number Flag
"1993","Female","35 to 49","Rape/sexual assault","185,272","109,521","261,023","38,649","0"
"1994","Female","35 to 49","Rape/sexual assault","91,764","50,131","133,398","21,242","0"
"1995","Female","35 to 49","Rape/sexual assault","203,254","137,318","269,190","33,641","0"
"1996","Female","35 to 49","Rape/sexual assault","87,286","46,384","128,188","20,869","0"
"1997","Female","35 to 49","Rape/sexual assault","117,908","61,722","174,094","28,667","0"
"1998","Female","35 to 49","Rape/sexual assault","51,725","22,821","80,630","14,747","0"
"1999","Female","35 to 49","Rape/sexual assault","141,550","78,920","204,180","31,955","0"
"2000","Female","35 to 49","Rape/sexual assault","50,027","19,206","80,847","15,725","0"
"2001","Female","35 to 49","Rape/sexual assault","126,838","72,244","181,432","27,854","0"
"2002","Female","35 to 49","Rape/sexual assault","44,954","15,500","74,408","15,028","1"
"2003","Female","35 to 49","Rape/sexual assault","40,015","12,250","67,780","14,166","0"
"2004","Female","35 to 49","Rape/sexual assault","60,178","25,535","94,821","17,675","0"
"2005","Female","35 to 49","Rape/sexual assault","47,883","15,398","80,369","16,574","0"
"2006","Female","35 to 49","Rape/sexual assault","98,489","48,978","148,000","25,261","0"
"2007","Female","35 to 49","Rape/sexual assault","59,487","28,924","90,049","15,593","0"
"2008","Female","35 to 49","Rape/sexual assault","120,604","55,851","185,356","33,038","0"
"2009","Female","35 to 49","Rape/sexual assault","56,751","16,399","97,104","20,588","1"
"2010","Female","35 to 49","Rape/sexual assault","72,533","29,863","115,203","21,771","0"
"2011","Female","35 to 49","Rape/sexual assault","42,221","13,948","70,494","14,425","0"
"2012","Female","35 to 49","Rape/sexual assault","50,630","17,087","84,173","17,114","1"
"2013","Female","35 to 49","Rape/sexual assault","47,099","14,636","79,562","16,563","1"
"2014","Female","35 to 49","Rape/sexual assault","61,752","23,202","100,303","19,669","0"
"2015","Female","35 to 49","Rape/sexual assault","65,949","23,745","108,153","21,533","0"
"2016","Female","35 to 49","Rape/sexual assault","40,599","14,328","66,870","13,404","0"
"2017","Female","35 to 49","Rape/sexual assault","114,293","64,369","164,217","25,472","0"
"2018","Female","35 to 49","Rape/sexual assault","163,618","98,819","228,417","33,061","0"
"2019","Female","35 to 49","Rape/sexual assault","75,740","35,434","116,046","20,565","0"
"2020","Female","35 to 49","Rape/sexual assault","43,509","15,614","71,403","14,232","0"
"2021","Female","35 to 49","Rape/sexual assault","36,838","14,665","59,010","11,313","0"
"2022","Female","35 to 49","Rape/sexual assault","83,151","40,298","126,005","21,864","0"
