"Number of violent victimizations by crime type, 1993-2022--Sex: female--Age: 21 to 24"
Year,Sex,Age,Crime Type,Number,Number CI Lower Bound,Number CI Upper Bound,Number SE,Number Flag
"1993","Female","21 to 24","Rape/sexual assault","159,460","90,459","228,460","35,205","0"
"1994","Female","21 to 24","Rape/sexual assault","62,656","29,516","95,795","16,908","0"
"1995","Female","21 to 24","Rape/sexual assault","56,703","27,356","86,050","14,973","0"
"1996","Female","21 to 24","Rape/sexual assault","56,034","25,143","86,925","15,761","0"
"1997","Female","21 to 24","Rape/sexual assault","48,049","15,935","80,163","16,385","1"
"1998","Female","21 to 24","Rape/sexual assault","73,980","37,409","110,551","18,659","0"
"1999","Female","21 to 24","Rape/sexual assault","48,424","16,600","80,247","16,237","0"
"2000","Female","21 to 24","Rape/sexual assault","75,478","35,288","115,667","20,505","1"
"2001","Female","21 to 24","Rape/sexual assault","53,164","21,342","84,986","16,236","0"
"2002","Female","21 to 24","Rape/sexual assault","27,628","6,165","49,090","10,950","1"
"2003","Female","21 to 24","Rape/sexual assault","87,777","42,217","133,338","23,245","1"
"2004","Female","21 to 24","Rape/sexual assault","32,958","8,679","57,238","12,388","1"
"2005","Female","21 to 24","Rape/sexual assault","15,038","0","31,405","8,351","1"
"2006","Female","21 to 24","Rape/sexual assault","71,203","30,692","111,714","20,669","1"
"2007","Female","21 to 24","Rape/sexual assault","46,942","21,227","72,656","13,120","0"
"2008","Female","21 to 24","Rape/sexual assault","28,488","802","56,175","14,126","1"
"2009","Female","21 to 24","Rape/sexual assault","120,398","55,069","185,727","33,332","1"
"2010","Female","21 to 24","Rape/sexual assault","68,769","27,599","109,939","21,006","1"
"2011","Female","21 to 24","Rape/sexual assault","24,111","4,166","44,055","10,176","1"
"2012","Female","21 to 24","Rape/sexual assault","14,276","0","30,676","8,367","1"
"2013","Female","21 to 24","Rape/sexual assault","19,530","1,238","37,821","9,333","1"
"2014","Female","21 to 24","Rape/sexual assault","63,500","24,277","102,723","20,012","0"
"2015","Female","21 to 24","Rape/sexual assault","19,899","0","40,468","10,495","1"
"2016","Female","21 to 24","Rape/sexual assault","19,094","2,202","35,986","8,619","1"
"2017","Female","21 to 24","Rape/sexual assault","37,284","11,838","62,729","12,983","0"
"2018","Female","21 to 24","Rape/sexual assault","81,179","40,074","122,285","20,973","0"
"2019","Female","21 to 24","Rape/sexual assault","91,291","46,028","136,554","23,094","0"
"2020","Female","21 to 24","Rape/sexual assault","58,544","24,941","92,146","17,144","0"
"2021","Female","21 to 24","Rape/sexual assault","47,747","21,741","73,753","13,269","0"
"2022","Female","21 to 24","Rape/sexual assault","57,210","22,589","91,831","17,664","0"
"1993","Female","21 to 24","Robbery","84,138","37,456","130,821","23,818","0"
"1994","Female","21 to 24","Robbery","85,052","45,280","124,824","20,292","0"
"1995","Female","21 to 24","Robbery","53,685","25,309","82,061","14,478","0"
"1996","Female","21 to 24","Robbery","53,901","23,752","84,050","15,382","0"
"1997","Female","21 to 24","Robbery","33,175","7,507","58,844","13,096","0"
"1998","Female","21 to 24","Robbery","58,050","26,880","89,221","15,904","0"
"1999","Female","21 to 24","Robbery","21,295","1,917","40,673","9,887","1"
"2000","Female","21 to 24","Robbery","56,582","23,228","89,935","17,017","0"
"2001","Female","21 to 24","Robbery","14,790","0","29,742","7,629","1"
"2002","Female","21 to 24","Robbery","44,863","15,448","74,278","15,008","1"
"2003","Female","21 to 24","Robbery","68,675","29,720","107,629","19,875","1"
"2004","Female","21 to 24","Robbery","17,436","590","34,281","8,595","1"
"2005","Female","21 to 24","Robbery","20,234","793","39,675","9,919","1"
"2006","Female","21 to 24","Robbery","33,273","7,664","58,882","13,066","1"
"2007","Female","21 to 24","Robbery","28,803","10,773","46,833","9,199","1"
"2008","Female","21 to 24","Robbery","44,467","8,695","80,240","18,251","1"
"2009","Female","21 to 24","Robbery","17,624","0","37,336","10,058","1"
"2010","Female","21 to 24","Robbery","37,479","9,949","65,009","14,046","1"
"2011","Female","21 to 24","Robbery","25,770","4,991","46,549","10,602","1"
"2012","Female","21 to 24","Robbery","49,715","16,525","82,905","16,934","0"
"2013","Female","21 to 24","Robbery","19,556","1,249","37,864","9,341","1"
"2014","Female","21 to 24","Robbery","33,484","6,946","60,021","13,540","1"
"2015","Female","21 to 24","Robbery","60,517","20,489","100,546","20,423","0"
"2016","Female","21 to 24","Robbery","46,849","18,230","75,469","14,602","0"
"2017","Female","21 to 24","Robbery","32,832","9,208","56,456","12,053","0"
"2018","Female","21 to 24","Robbery","19,874","2,678","37,070","8,774","1"
"2019","Female","21 to 24","Robbery","20,140","1,918","38,363","9,297","1"
"2020","Female","21 to 24","Robbery","43,934","15,870","71,998","14,319","1"
"2021","Female","21 to 24","Robbery","16,536","2,817","30,255","7,000","1"
"2022","Female","21 to 24","Robbery","24,924","3,129","46,719","11,120","1"
"1993","Female","21 to 24","Aggravated assault","152,189","85,154","219,223","34,202","0"
"1994","Female","21 to 24","Aggravated assault","136,311","83,336","189,286","27,028","0"
"1995","Female","21 to 24","Aggravated assault","125,763","77,384","174,142","24,683","0"
"1996","Female","21 to 24","Aggravated assault","160,513","99,823","221,202","30,965","0"
"1997","Female","21 to 24","Aggravated assault","124,791","66,539","183,043","29,721","0"
"1998","Female","21 to 24","Aggravated assault","142,042","85,430","198,654","28,884","0"
"1999","Female","21 to 24","Aggravated assault","57,861","22,333","93,389","18,127","0"
"2000","Female","21 to 24","Aggravated assault","52,019","20,418","83,620","16,123","0"
"2001","Female","21 to 24","Aggravated assault","43,006","15,017","70,995","14,280","0"
"2002","Female","21 to 24","Aggravated assault","128,157","68,739","187,575","30,316","0"
"2003","Female","21 to 24","Aggravated assault","63,394","26,365","100,423","18,893","0"
"2004","Female","21 to 24","Aggravated assault","70,472","32,380","108,564","19,435","0"
"2005","Female","21 to 24","Aggravated assault","126,972","67,369","186,576","30,410","0"
"2006","Female","21 to 24","Aggravated assault","114,522","60,114","168,929","27,759","0"
"2007","Female","21 to 24","Aggravated assault","28,909","10,831","46,987","9,224","1"
"2008","Female","21 to 24","Aggravated assault","63,952","19,690","108,213","22,583","0"
"2009","Female","21 to 24","Aggravated assault","80,623","30,193","131,053","25,730","0"
"2010","Female","21 to 24","Aggravated assault","49,348","16,348","82,347","16,837","0"
"2011","Female","21 to 24","Aggravated assault","50,220","18,661","81,779","16,102","0"
"2012","Female","21 to 24","Aggravated assault","36,981","8,995","64,968","14,279","1"
"2013","Female","21 to 24","Aggravated assault","27,331","4,619","50,042","11,588","1"
"2014","Female","21 to 24","Aggravated assault","40,876","10,940","70,811","15,273","1"
"2015","Female","21 to 24","Aggravated assault","38,712","8,207","69,217","15,564","0"
"2016","Female","21 to 24","Aggravated assault","50,245","20,396","80,094","15,229","0"
"2017","Female","21 to 24","Aggravated assault","79,602","39,599","119,606","20,410","0"
"2018","Female","21 to 24","Aggravated assault","50,054","19,786","80,323","15,443","0"
"2019","Female","21 to 24","Aggravated assault","49,194","18,244","80,143","15,791","0"
"2020","Female","21 to 24","Aggravated assault","30,010","7,831","52,189","11,316","1"
"2021","Female","21 to 24","Aggravated assault","39,545","16,389","62,700","11,814","0"
"2022","Female","21 to 24","Aggravated assault","93,662","47,764","139,559","23,418","0"
"1993","Female","21 to 24","Simple assault","506,603","362,838","650,369","73,351","0"
"1994","Female","21 to 24","Simple assault","620,518","482,027","759,010","70,660","0"
"1995","Female","21 to 24","Simple assault","561,957","432,643","691,271","65,978","0"
"1996","Female","21 to 24","Simple assault","465,148","341,709","588,586","62,980","0"
"1997","Female","21 to 24","Simple assault","556,624","401,367","711,881","79,214","0"
"1998","Female","21 to 24","Simple assault","472,725","343,309","602,141","66,030","0"
"1999","Female","21 to 24","Simple assault","373,239","254,737","491,741","60,461","0"
"2000","Female","21 to 24","Simple assault","294,061","194,464","393,658","50,816","0"
"2001","Female","21 to 24","Simple assault","328,601","227,678","429,523","51,492","0"
"2002","Female","21 to 24","Simple assault","195,865","116,391","275,339","40,549","0"
"2003","Female","21 to 24","Simple assault","336,617","226,198","447,036","56,337","0"
"2004","Female","21 to 24","Simple assault","316,705","219,389","414,022","49,652","0"
"2005","Female","21 to 24","Simple assault","237,308","148,120","326,496","45,505","0"
"2006","Female","21 to 24","Simple assault","299,442","198,766","400,118","51,366","0"
"2007","Female","21 to 24","Simple assault","223,860","143,206","304,514","41,151","0"
"2008","Female","21 to 24","Simple assault","314,803","197,202","432,404","60,002","0"
"2009","Female","21 to 24","Simple assault","192,480","103,568","281,393","45,364","0"
"2010","Female","21 to 24","Simple assault","124,397","62,882","185,912","31,386","0"
"2011","Female","21 to 24","Simple assault","142,261","80,125","204,397","31,702","0"
"2012","Female","21 to 24","Simple assault","235,027","150,568","319,486","43,092","0"
"2013","Female","21 to 24","Simple assault","243,193","143,719","342,667","50,753","0"
"2014","Female","21 to 24","Simple assault","151,818","83,753","219,883","34,728","0"
"2015","Female","21 to 24","Simple assault","134,137","68,249","200,025","33,617","0"
"2016","Female","21 to 24","Simple assault","200,902","130,235","271,568","36,055","0"
"2017","Female","21 to 24","Simple assault","138,664","82,380","194,948","28,717","0"
"2018","Female","21 to 24","Simple assault","161,460","97,225","225,696","32,774","0"
"2019","Female","21 to 24","Simple assault","181,316","111,406","251,227","35,669","0"
"2020","Female","21 to 24","Simple assault","110,809","60,238","161,381","25,802","0"
"2021","Female","21 to 24","Simple assault","62,649","31,851","93,448","15,714","0"
"2022","Female","21 to 24","Simple assault","196,127","125,265","266,990","36,155","0"
"95% C.I.: 95% confidence interval."
"S.E.: Standard error."
"Estimate flag of 1: Interpret data with caution, based on 10 or fewer sample cases or the coefficient of variation is greater than 50%."
"Estimate flag of 2: For numbers, indicates estimate is equal to 0 victimizations. For rates, indicates estimate rounds to less than .05 victimizations per 1,000. For percents, indicates estimate rounds to less than .5 percent."
"Estimates for 2006 should not be compared to other years. See https://ncvs.bjs.ojp.gov/methodology#dataComp for more information."
"In October 2018, BJS released a revised set of 2016 NCVS data. See https://ncvs.bjs.ojp.gov/methodology#dataComp for more information."
"One limitation of the 2016 NCVS revised data file relates to youth 12-17 years old. A significant portion of youth crime occurs at school and therefore, an inherent limitation of the file is that the youth in the sample had less time in school based on the cases that were pulled for the revised file. Please use caution when examining crime estimates for youth using 2016 data."
"Income was imputed beginning in 2015, so no cases in 2015 or later have unknown income. See Terms and Definitions for more information."
"In this tool, data on most important reasons for reporting to police are only found in the Quick Graphics section. See Terms and Definitions for more information."
"In this tool, data on most important reasons for not reporting to police are only found in the Quick Graphics section. See Terms and Definitions for more information."
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1993-2022". https://ncvs.bjs.ojp.gov/multi-year-trends/crimeType
